Sample B,,,,,,,,,
Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value,,uniaxial,transverse 
1,1,258,413,-1,-1,-7040629,,0,0
1,2,253,388,3.289,1.644,-13948617,,0.090047393,0
1,3,252,363,3.228,1.614,-14870493,,0.17535545,0
1,4,250,336,3.493,1.746,-14935773,,0.279620853,0
1,5,249,310,3.356,1.678,-16119011,,0.379146919,0
1,6,246,284,3.376,1.688,-14409685,,0.483412322,0
1,7,245,258,3.356,1.678,-15527912,,0.582938389,0
1,8,242,231,3.504,1.752,-13817549,,0.682464455,0
1,9,241,203,3.614,1.807,-13817541,,0.791469194,0
1,10,240,178,3.228,1.614,-15001291,,0.881516588,0
1,11,239,152,3.356,1.678,-13949391,,0.981042654,0
2,1,270,624,-1,-1,-14012849,,,
2,2,268,618,0.816,0.408,-14869451,,,
2,3,267,611,0.912,0.456,-14869973,,,
2,4,265,606,0.695,0.347,-15592413,,,
2,5,265,601,0.645,0.323,-14409173,,,
2,6,264,597,0.532,0.266,-14409685,,,
2,7,262,592,0.695,0.347,-12303555,,,
2,8,262,586,0.774,0.387,-14803915,,,
2,9,262,581,0.645,0.323,-14473149,,,
2,10,261,575,0.785,0.392,-14407111,,,
2,11,260,570,0.658,0.329,-13290666,,,
3,1,248,532,-1,-1,-10593953,,,
3,2,243,520,1.677,0.839,-11318192,,,
3,3,241,508,1.569,0.785,-13883081,,,
3,4,239,493,1.952,0.976,-13815457,,,
3,5,239,480,1.677,0.839,-11973282,,,
3,6,238,467,1.682,0.841,-13092534,,,
3,7,237,454,1.682,0.841,-14869973,,,
3,8,237,441,1.677,0.839,-13817549,,,
3,9,236,426,1.939,0.97,-12830131,,,
3,10,235,412,1.811,0.905,-15330788,,,
3,11,235,397,1.935,0.968,-13290666,,,
4,1,284,528,-1,-1,-13817290,,,
4,2,278,515,1.847,0.923,-14471339,,,
4,3,274,502,1.755,0.877,-13947579,,,
4,4,272,488,1.824,0.912,-13291202,,,
4,5,269,475,1.721,0.861,-11973282,,,
4,6,269,464,1.419,0.71,-14869724,,,
4,7,269,448,2.064,1.032,-14869973,,,
4,8,266,436,1.596,0.798,-15461082,,,
4,9,265,420,2.068,1.034,-13817021,,,
4,10,265,407,1.677,0.839,-15001291,,,
4,11,263,391,2.08,1.04,-13949391,,,
