Sample C,,,,,,,,,,
Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value,,uniaxial,transverse ,v
1,1,277,440,-1,-1,-14935512,,0,0,#DIV/0!
1,2,274,438,0.465,0.233,-16114625,,-0.017361111,-0.024390244,-1.404878049
1,3,274,413,3.225,1.612,-16579821,,0.055555556,-0.024390244,0.43902439
1,4,272,384,3.75,1.875,-15461590,,0.142361111,-0.048780488,0.342653183
1,5,270,357,3.493,1.746,-16181445,,0.222222222,-0.097560976,0.43902439
1,6,266,332,3.266,1.633,-15526616,,0.284722222,-0.170731707,0.59964307
1,7,266,308,3.096,1.548,-15527655,,0.336805556,-0.170731707,0.50691476
1,8,265,284,3.099,1.549,-15657949,,0.104166667,-0.146341463,1.404878049
2,1,289,730,-1,-1,-14935512,,,,
2,2,289,728,0.258,0.129,-16053221,,,,
2,3,290,721,0.912,0.456,-15393987,,,,
2,4,292,717,0.577,0.288,-12039074,,,,
2,5,290,713,0.577,0.288,-14473409,,,,
2,6,290,709,0.516,0.258,-16644581,,,,
2,7,290,702,0.903,0.451,-14935773,,,,
2,8,288,693,1.189,0.595,-15525569,,,,
3,1,269,602,-1,-1,-15855053,,,,
3,2,269,592,1.29,0.645,-15262669,,,,
3,3,269,577,1.935,0.967,-15393987,,,,
3,4,269,562,1.935,0.967,-16248523,,,,
3,5,268,549,1.682,0.841,-13683634,,,,
3,6,268,534,1.935,0.967,-15393987,,,,
3,7,266,521,1.697,0.848,-15526354,,,,
3,8,265,505,2.068,1.034,-13223339,,,,
4,1,310,601,-1,-1,-11052698,,,,
4,2,309,589,1.553,0.777,-8946803,,,,
4,3,309,574,1.935,0.967,-10986898,,,,
4,4,308,561,1.682,0.841,-6184011,,,,
4,5,305,544,2.227,1.113,-12432793,,,,
4,6,302,517,3.504,1.752,-14474704,,,,
4,7,300,500,2.208,1.104,-13750725,,,,
4,8,300,485,1.935,0.968,-14802885,,,,
